Name,Execution time in second
2_1_8_L,0.151785824
2_2_8_L,0.077140168
2_3_8_L,0.05305662
2_4_8_L,0.03981734
2_5_8_L,0.032764704
2_6_8_L,0.027930668
2_7_8_L,0.024895788
2_8_8_L,0.021155964
2_9_8_L,0.020175824
2_10_8_L,0.018121084
2_11_8_L,0.016436
2_12_8_L,0.015733792
2_13_8_L,0.014157948
2_14_8_L,0.013880016
2_15_8_L,0.01340112
2_16_8_L,0.011825276
4_1_8_L,0.495359072
4_2_8_L,0.248926792
4_3_8_L,0.16918782
4_4_8_L,0.125710652
4_5_8_L,0.102399456
4_6_8_L,0.086374124
4_7_8_L,0.0761523
4_8_8_L,0.064666428
4_9_8_L,0.061529168
4_10_8_L,0.055170892
4_11_8_L,0.050056736
4_12_8_L,0.047760784
4_13_8_L,0.043044348
4_14_8_L,0.042086064
4_15_8_L,0.040562976
4_16_8_L,0.03583622
7_1_8_L,1.869652064
7_2_8_L,0.936073288
7_3_8_L,0.63371262
7_4_8_L,0.47492102
7_5_8_L,0.389781504
7_6_8_L,0.331172348
7_7_8_L,0.293885148
7_8_8_L,0.249982524
7_9_8_L,0.236830784
7_10_8_L,0.212319004
7_11_8_L,0.19293392
7_12_8_L,0.183389872
7_13_8_L,0.165639948
7_14_8_L,0.161664576
7_15_8_L,0.15531024
7_16_8_L,0.137532476
