Model,Scenario,DaCapo-Spatial,DaCapo-Spatiotemporal
resnet18,S1,81.37684813948695,0.0
resnet18,S2,83.10453343874289,0.0
resnet18,S3,80.19991090754938,0.0
resnet18,S4,80.35967103917008,0.0
resnet18,S5,78.76790316149574,0.0
resnet18,S6,78.88969784527099,0.0
resnet18,GMEAN,80.43613585699592,0.0
vit_b_32,S1,83.67911391768047,0.0
vit_b_32,S2,84.26531219256881,0.0
vit_b_32,S3,82.60487817577553,0.0
vit_b_32,S4,81.98858251525465,0.0
vit_b_32,S5,82.3360186892254,0.0
vit_b_32,S6,81.55804498981598,0.0
vit_b_32,GMEAN,82.73328619422445,0.0
resnet34,S1,78.27427383890662,0.0
resnet34,S2,79.77016356287874,0.0
resnet34,S3,79.00948778173858,0.0
resnet34,S4,77.81088431015618,0.0
resnet34,S5,77.62984323216186,0.0
resnet34,S6,77.23155138134015,0.0
resnet34,GMEAN,78.28293486092457,0.0
